id,liability date,liability value,currency
0,2006-10-27,8336,chf
1,2008-01-09,1195,gbp
2,2008-12-22,6205,eur
3,2006-01-25,4396,chf
4,2012-12-05,1436,eur
5,2007-09-07,1150,eur
6,2009-12-21,7703,gbp
7,2002-03-13,7098,eur
8,2010-06-23,4204,eur
9,2004-11-22,8412,usd
10,2002-01-15,9896,usd
11,2008-12-08,5176,chf
12,2011-12-20,4475,gbp
13,2011-02-25,9249,chf
14,2004-07-22,5615,chf
15,2007-08-22,7591,usd
16,2003-02-18,9828,usd
17,2008-02-13,1020,usd
18,2011-02-14,8176,usd
19,2012-10-08,9663,usd
20,2002-02-07,6996,usd
21,2003-02-04,3894,usd
22,2012-02-15,7841,chf
23,2010-03-10,8425,eur
24,2011-06-15,4221,chf
25,2008-04-07,9416,eur
26,2009-01-19,7706,usd
27,2002-01-02,1701,usd
28,2002-03-05,7749,usd
29,2011-01-21,5168,usd
30,2011-10-06,9456,chf
31,2002-02-14,8098,chf
32,2002-08-21,1177,gbp
33,2005-01-26,2366,chf
34,2002-05-29,6846,usd
35,2006-07-27,6688,chf
36,2011-05-20,7943,eur
37,2005-09-12,2022,chf
38,2007-03-27,7911,usd
39,2010-11-23,7503,gbp
40,2008-06-20,6820,eur
41,2009-09-02,1053,gbp
42,2008-03-04,9207,gbp
43,2008-08-19,7978,chf
44,2002-06-19,6628,eur
45,2002-12-12,7946,eur
46,2005-07-19,2504,usd
47,2003-07-17,4545,gbp
48,2010-05-11,6251,gbp
49,2011-05-05,4256,usd
50,2006-06-06,5477,chf
51,2008-08-07,3587,chf
52,2007-02-01,8167,usd
53,2011-02-11,8457,chf
54,2003-11-28,8586,eur
55,2005-01-19,2858,eur
56,2011-09-19,1087,usd
57,2009-06-26,1803,usd
58,2012-02-10,6738,eur
59,2002-03-01,5341,gbp
60,2003-09-02,1399,chf
61,2008-02-25,6276,usd
62,2011-11-08,3671,usd
63,2011-12-02,5580,chf
64,2006-08-28,7343,gbp
65,2006-08-01,1387,gbp
66,2011-12-07,3726,usd
67,2010-10-06,2881,chf
68,2005-03-18,5843,usd
69,2004-12-17,5967,gbp
70,2005-12-28,3255,usd
71,2007-07-31,6364,gbp
72,2007-06-01,4848,chf
73,2005-03-22,6784,gbp
74,2006-06-07,7883,eur
75,2003-04-02,8355,chf
76,2012-06-19,9877,gbp
77,2003-10-30,9542,gbp
78,2006-05-19,2805,gbp
79,2005-09-07,3186,gbp
80,2002-10-02,3098,usd
81,2010-03-18,6528,usd
82,2004-09-14,7361,chf
83,2002-07-10,6149,gbp
84,2012-03-09,5055,gbp
85,2002-01-17,7307,eur
86,2004-09-08,5887,eur
87,2006-09-13,7096,eur
88,2003-02-18,9458,chf
89,2009-06-26,8199,chf
90,2012-07-25,7957,chf
91,2011-04-26,4212,eur
92,2002-01-31,4670,eur
93,2011-09-08,9090,gbp
94,2005-04-21,9502,chf
95,2003-04-17,9328,usd
96,2004-07-20,5421,chf
97,2010-10-05,2154,usd
98,2010-01-26,5964,eur
99,2005-10-21,6163,eur
100,2002-03-22,4694,gbp
101,2005-11-08,1398,chf
102,2002-09-12,5492,eur
103,2003-08-11,8900,usd
104,2007-07-13,2973,usd
105,2011-06-07,6633,usd
106,2003-03-31,5413,eur
107,2004-01-23,2693,usd
108,2012-05-22,7983,chf
109,2009-01-28,5567,eur
110,2005-03-22,6956,chf
111,2008-07-22,5760,chf
112,2012-08-10,3204,eur
113,2005-09-26,6240,chf
114,2009-12-22,9392,usd
115,2008-09-15,6916,chf
116,2004-09-21,2842,eur
117,2010-05-20,5249,chf
118,2011-05-13,2077,usd
119,2004-03-17,6715,chf
120,2006-04-06,6358,gbp
121,2007-08-06,6403,gbp
122,2005-03-14,8993,chf
123,2008-05-08,3421,gbp
124,2010-03-02,6756,chf
125,2009-12-18,4429,usd
126,2006-01-20,6922,eur
127,2003-11-20,2528,gbp
128,2009-03-24,5707,eur
129,2007-04-18,2091,eur
130,2004-01-16,8154,eur
131,2012-12-11,3067,chf
132,2007-04-20,8811,eur
133,2007-09-21,8141,usd
134,2002-01-18,9946,gbp
135,2012-05-02,5490,eur
136,2003-12-23,7009,gbp
137,2007-04-26,8238,gbp
138,2005-06-10,5568,usd
139,2004-11-23,5805,eur
140,2009-11-10,4814,chf
141,2008-01-17,7171,gbp
142,2004-06-03,7623,eur
143,2011-10-06,1018,usd
144,2005-09-27,5820,usd
145,2012-10-12,9767,eur
146,2010-03-11,3076,chf
147,2005-06-29,1614,eur
148,2004-07-02,9241,usd
149,2006-12-12,1467,eur
150,2012-05-07,8890,usd
151,2005-02-17,5480,usd
152,2003-02-03,8884,gbp
153,2008-05-14,4717,chf
154,2008-05-19,4200,usd
155,2010-06-18,9073,usd
156,2011-03-23,9052,eur
157,2007-12-04,8078,chf
158,2010-01-12,7898,eur
159,2007-06-12,9431,eur
160,2002-02-19,6261,usd
161,2012-06-28,9835,gbp
162,2002-03-21,6653,chf
163,2012-05-25,9707,chf
164,2009-09-01,7117,gbp
165,2009-09-08,7030,eur
166,2002-07-12,4766,usd
167,2012-07-06,6229,eur
168,2003-09-12,8291,usd
169,2006-03-08,6659,gbp
170,2004-11-10,2515,usd
171,2002-06-04,9647,usd
172,2002-03-14,1473,gbp
173,2009-07-31,4204,eur
174,2008-02-22,8892,eur
175,2002-02-27,3190,gbp
176,2008-08-08,4414,eur
177,2006-01-11,6741,chf
178,2012-01-02,1449,chf
179,2008-01-03,7303,usd
180,2010-12-31,1880,eur
181,2011-11-08,5079,chf
182,2007-09-03,1987,eur
183,2011-02-04,4107,eur
184,2004-11-15,2943,eur
185,2006-03-03,1436,gbp
186,2009-08-10,5753,usd
187,2007-07-11,6074,eur
188,2010-06-14,5087,chf
189,2011-12-29,9513,usd
190,2007-06-14,5166,eur
191,2011-10-28,1581,gbp
192,2002-03-07,9646,gbp
193,2009-07-14,7650,gbp
194,2009-08-25,4575,gbp
195,2005-06-21,1572,eur
196,2004-12-09,1218,chf
197,2002-05-10,8565,usd
198,2011-11-15,9353,chf
199,2009-03-13,9211,usd
200,2006-11-20,3614,chf
201,2006-10-16,3155,eur
202,2011-03-04,5284,gbp
203,2003-12-10,8629,chf
204,2008-11-25,1675,chf
205,2010-04-02,9747,usd
206,2005-09-28,7384,eur
207,2010-10-27,8333,eur
208,2003-04-30,7808,eur
209,2003-03-17,3332,chf
210,2007-08-21,6323,gbp
211,2003-01-21,9686,usd
212,2002-07-17,7764,gbp
213,2005-09-05,2343,gbp
214,2009-10-21,5942,usd
215,2010-05-18,3055,chf
216,2008-08-28,1102,usd
217,2002-08-20,3447,eur
218,2012-04-24,5699,eur
219,2004-10-13,3259,usd
220,2002-05-21,5178,eur
221,2004-02-10,4602,chf
222,2007-12-12,4893,chf
223,2006-08-11,8858,eur
224,2011-11-09,6207,chf
225,2009-02-13,6232,eur
226,2012-02-08,8172,gbp
227,2011-10-26,9270,eur
228,2012-10-05,8589,eur
229,2012-04-30,9494,chf
230,2011-08-22,4400,chf
231,2011-06-15,7231,gbp
232,2004-06-17,4354,gbp
233,2011-02-14,5556,chf
234,2007-10-12,4379,eur
235,2011-01-07,4620,usd
236,2007-01-22,9206,eur
237,2007-01-29,3847,chf
238,2010-04-14,6340,chf
239,2012-08-03,2277,eur
240,2004-06-11,5454,usd
241,2010-07-29,5636,gbp
242,2006-10-02,6158,gbp
243,2002-12-17,7695,gbp
244,2004-12-07,1909,chf
245,2008-05-21,2113,gbp
246,2006-07-04,7065,chf
247,2003-03-26,8410,chf
248,2010-06-30,7423,gbp
249,2005-07-22,8778,chf
250,2011-12-08,2757,chf
251,2008-01-15,7355,usd
252,2012-10-23,6682,chf
253,2012-04-05,9325,chf
254,2003-11-26,5206,gbp
255,2012-06-18,3669,chf
256,2012-09-26,6513,eur
257,2005-06-23,4092,chf
258,2011-05-04,1697,eur
259,2009-01-08,4591,eur
260,2006-02-20,1780,usd
261,2006-01-16,5018,chf
262,2003-07-22,6417,usd
263,2012-12-18,8751,gbp
264,2004-05-06,2994,chf
265,2008-08-14,7294,usd
266,2006-01-20,9130,gbp
267,2008-11-26,2649,gbp
268,2007-12-04,8567,usd
269,2006-09-06,8544,chf
270,2005-03-30,2163,usd
271,2011-06-27,4597,eur
272,2010-11-19,8419,eur
273,2011-04-19,5006,usd
274,2006-07-18,2619,usd
275,2011-01-11,2185,chf
276,2006-11-24,8549,eur
277,2007-07-17,7752,gbp
278,2002-02-20,9924,usd
279,2008-07-02,2470,chf
280,2010-05-12,9353,gbp
281,2012-06-25,4731,gbp
282,2002-01-29,1314,eur
283,2011-03-02,2912,usd
284,2004-02-11,3242,chf
285,2005-08-01,6282,eur
286,2005-10-11,9243,usd
287,2006-02-21,8288,eur
288,2009-03-11,5287,chf
289,2007-08-24,6968,chf
290,2006-08-21,2603,chf
291,2009-11-16,5457,eur
292,2005-09-16,9424,chf
293,2011-12-28,6645,eur
294,2002-11-29,6070,usd
295,2010-09-02,2734,gbp
296,2003-06-11,9720,usd
297,2009-03-26,3534,eur
298,2005-04-04,1179,chf
299,2005-09-07,3089,usd
300,2005-12-01,2417,usd
301,2004-01-06,3903,chf
302,2002-07-17,6883,eur
303,2003-03-03,4069,usd
304,2006-10-25,2589,gbp
305,2009-08-26,8762,gbp
306,2005-01-14,4231,chf
307,2006-09-21,5017,usd
308,2007-04-18,9899,gbp
309,2002-03-28,1619,gbp
310,2002-06-14,3779,usd
311,2002-06-12,5440,gbp
312,2006-03-20,6837,chf
313,2009-05-20,1536,usd
314,2007-07-20,4923,usd
315,2006-09-14,3960,eur
316,2003-11-07,1009,eur
317,2003-04-16,9166,gbp
318,2011-05-16,7103,usd
319,2012-12-11,6298,usd
320,2002-03-08,5260,chf
321,2011-02-02,7285,usd
322,2005-08-05,2092,gbp
323,2010-04-21,5162,usd
324,2008-01-18,1773,chf
325,2010-10-01,8682,chf
326,2012-08-17,7261,eur
327,2007-01-10,4918,usd
328,2012-05-14,4236,gbp
329,2007-11-28,7520,chf
330,2005-01-25,3162,gbp
331,2007-05-16,5467,chf
332,2002-03-26,4107,usd
333,2007-06-18,8491,eur
334,2011-04-08,2017,chf
335,2010-12-20,2114,usd
336,2007-04-04,6690,chf
337,2008-10-27,2790,gbp
338,2006-06-08,7700,usd
339,2005-02-17,9413,chf
340,2008-06-17,3184,gbp
341,2007-02-20,5655,eur
342,2010-08-03,6160,eur
343,2008-09-22,6394,eur
344,2012-07-16,7215,eur
345,2003-07-23,3080,chf
346,2005-11-10,7343,chf
347,2003-09-30,4957,gbp
348,2004-03-25,8979,chf
349,2011-07-01,8626,chf
350,2002-06-10,8296,usd
351,2006-06-27,5533,eur
352,2007-04-20,1986,eur
353,2006-03-17,1164,chf
354,2010-06-24,3552,usd
355,2005-11-04,5063,chf
356,2012-02-07,8008,eur
357,2004-09-07,1830,usd
358,2002-08-02,8213,eur
359,2005-02-25,3793,gbp
360,2007-01-26,9607,chf
361,2012-08-27,1942,gbp
362,2007-06-11,1369,chf
363,2005-11-16,1841,usd
364,2007-01-09,2376,eur
365,2007-07-30,9565,usd
366,2009-07-31,4007,usd
367,2003-07-18,4083,usd
368,2002-04-18,2071,eur
369,2012-10-31,8033,gbp
370,2004-12-03,1208,eur
371,2010-03-10,5017,chf
372,2008-02-21,5583,chf
373,2005-10-10,5543,chf
374,2009-03-19,7283,chf
375,2004-07-22,5073,gbp
376,2004-04-19,3715,gbp
377,2006-11-09,7378,usd
378,2008-09-11,1523,chf
379,2002-11-19,6859,chf
380,2008-08-20,6041,eur
381,2009-03-27,8891,usd
382,2010-05-10,5349,eur
383,2005-03-14,3444,chf
384,2009-10-13,3072,eur
385,2004-08-13,8948,usd
386,2012-10-11,6897,gbp
387,2002-01-11,2631,usd
388,2007-04-30,4382,usd
389,2008-07-18,5920,usd
390,2002-01-11,6862,gbp
391,2011-11-24,3831,gbp
392,2006-09-01,6956,usd
393,2003-08-18,4922,gbp
394,2005-01-20,3719,gbp
395,2009-09-30,1720,chf
396,2002-10-29,9301,eur
397,2010-06-18,1951,chf
398,2009-06-24,2113,gbp
399,2005-11-17,2743,eur
400,2008-07-29,1258,usd
401,2007-02-26,7054,eur
402,2008-05-23,5711,usd
403,2010-09-06,9506,chf
404,2002-11-12,2389,usd
405,2008-12-18,5220,eur
406,2010-06-22,4410,usd
