id,liability date,liability value,currency,payment date,payment value,original exchange rate,payment exchange rate,today exchange rate,original value in pln,paid value in foreign,remaining liability in foreign,remaining liability in pln
0,2010-05-10,4303,gbp,2017-05-18,4669,4.5861,4.938,5.084,19733.9883,945.5245038477117,3357.4754961522885,17069.405422438234
1,2011-12-01,1264,chf,2021-03-09,6563,3.6741,4.1266,4.5849,4644.0624,1590.4134154025105,-326.4134154025105,-1496.5728682789704
2,2002-02-01,6072,gbp,2022-08-29,4824,5.8924,5.5752,5.084,35778.6528,865.260439087387,5206.739560912613,26471.063927679723
3,2008-07-22,1208,gbp,2022-05-10,1829,4.0563,5.4564,5.084,4900.0104,335.2026977494318,872.7973022505682,4437.301484641888
4,2005-05-06,7164,chf,2022-06-20,8831,2.6809,4.5993,4.5849,19205.9676,1920.0747939903897,5243.9252060096105,24042.872677033465
5,2003-07-28,8207,usd,2021-01-25,3656,3.8441,3.7402,4.0495,31548.5287,977.4878348751403,7229.51216512486,29275.909512673123
6,2002-06-21,6863,gbp,2016-09-12,3652,6.0294,5.1326,5.084,41379.7722,711.5302186026576,6151.469781397343,31274.07236862409
7,2006-02-08,4615,chf,2017-06-01,6390,2.4637,3.8378,4.5849,11369.975499999999,1665.0164156548021,2949.983584345198,13525.379735864299
8,2008-07-21,7912,chf,2021-03-02,9311,1.9833,4.112,4.5849,15691.8696,2264.348249027237,5647.651750972763,25893.91851303502
9,2008-07-18,9519,chf,2023-02-06,7558,1.9899,4.7458,4.5849,18941.8581,1592.566058409541,7926.433941590459,36341.9069787981
10,2008-04-09,9858,usd,2014-12-08,4070,2.1997,3.3978,4.0495,21684.6426,1197.8338925186886,8660.166107481311,35069.34265224557
11,2003-04-18,1482,chf,2022-05-12,3574,2.8372,4.502,4.5849,4204.7304,793.8693913816082,688.1306086183918,3155.0100274544643
12,2002-07-08,9838,gbp,2021-02-19,5408,6.3399,5.1755,5.084,62371.936200000004,1044.9231958264902,8793.07680417351,44704.00247241812
13,2011-02-04,5911,eur,2014-05-30,8148,3.9075,4.142,4.3463,23097.232500000002,1967.1656204732012,3943.834379526799,17141.087363737326
14,2006-11-29,8328,gbp,2015-10-22,7772,5.6594,5.85,5.084,47131.483199999995,1328.5470085470085,6999.452991452991,35585.21900854701
15,2004-06-24,6104,gbp,2017-08-21,7534,6.8332,4.6882,5.084,41709.8528,1607.0133526726675,4496.986647327332,22862.680115012157
16,2012-05-14,1461,usd,2021-03-30,4322,3.3422,3.9604,4.0495,4882.9542,1091.3039086960914,369.6960913039086,1497.0843217351778
17,2007-06-06,7761,chf,2020-04-27,9459,2.3209,4.2892,4.5849,18012.5049,2205.3063508346545,5555.693649165345,25472.29981205819
18,2008-10-14,1500,gbp,2021-12-28,7652,4.4865,5.4623,5.084,6729.750000000001,1400.875089248119,99.12491075188109,503.9510462625634
19,2011-05-27,9807,chf,2018-11-19,1010,3.2612,3.7947,4.5849,31982.5884,266.1606978153741,9540.839302184626,43743.794116586294
20,2005-07-07,3868,eur,2022-10-20,2477,4.1195,4.7955,4.3463,15934.226000000002,516.525909707017,3351.474090292983,14566.511838640392
21,2011-10-07,6317,eur,2023-03-27,7706,4.3779,4.6856,4.3463,27655.194300000003,1644.613283250811,4672.386716749189,20307.594387007
22,2009-04-30,8645,chf,2021-11-02,1390,2.9044,4.3615,4.5849,25108.538,318.69769574687604,8326.302304253124,38175.26343477015
23,2012-02-09,1418,chf,2014-06-26,6111,3.4507,3.3993,4.5849,4893.0926,1797.7230606301296,-379.72306063012957,-1740.9922606830812
24,2005-02-15,1945,usd,2021-01-14,5491,3.0699,3.7323,4.0495,5970.9555,1471.2107815556092,473.7892184443908,1918.6094400905606
